sin(0),-0.183,0.201,0.0
sin(30),-0.85,0.468,0.499
sin(45),0.669,-0.044,0.707
sin(60),-0.242,-0.634,0.866
sin(90),-0.645,0.587,1.0
sin(120),0.322,-0.458,0.866
sin(135),-0.095,-0.593,0.707
sin(150),0.8,0.4,0.499
sin(180),-0.321,0.048,0.0
sin(210),0.437,-0.076,-0.5
sin(225),0.257,-0.986,-0.707
sin(240),0.01,-0.628,-0.866
sin(270),-0.794,-0.706,-1.0
sin(300),-0.69,-0.086,-0.866
sin(315),0.51,0.409,-0.707
sin(330),-0.864,-0.3,-0.5
cos(0),0.757,-0.947,1.0
cos(30),0.253,0.976,0.866
cos(45),-0.284,0.267,0.707
cos(60),0.278,-0.267,0.5
cos(90),-0.105,-0.338,0.0
cos(120),-0.778,-0.957,-0.499
cos(135),-0.148,0.471,-0.707
cos(150),-0.411,-0.195,-0.866
cos(180),0.548,-0.522,-1.0
cos(210),-0.658,0.88,-0.866
cos(225),0.892,0.749,-0.707
cos(240),-0.249,0.783,-0.5
cos(270),-0.231,-0.007,0.0
cos(300),-0.724,-0.994,0.5
cos(315),-0.703,0.851,0.707
cos(330),0.932,0.836,0.866
tan(0),-0.864,-0.548,0.0
tan(30),0.256,-2.735,0.577
tan(45),undef,-0.811,1
tan(60),0.397,-1.399,1.732
tan(90),1.147,-1.662,undef
tan(120),-1.652,0.667,-1.732
tan(135),0.184,undef,-1.0
tan(150),-2.58,-1.105,-0.577
tan(180),-2.057,-2.116,0.0
tan(210),undef,0.412,0.577
tan(225),1.966,-2.462,0.999
tan(240),-1.207,-1.951,1.732
tan(270),-1.562,-2.72,undef
tan(300),0.675,-0.726,-1.732
tan(315),-0.525,-0.153,-1.0
tan(330),-2.978,undef,-0.577
csc(0),1.934,-5.59,undef
csc(30),1.189,undef,2.0
csc(45),1.817,1.369,1.414
csc(60),1.686,1.066,1.154
csc(90),1.075,-11.444,1.0
csc(120),1.257,undef,1.154
csc(135),1.394,9.329,1.414
csc(150),undef,-4.327,2.0
csc(180),-16.198,-242.97,undef
csc(210),3.813,1.593,-2.0
csc(225),2.543,-4.759,-1.414
csc(240),113.73,-1.1,-1.154
csc(270),undef,1.084,-1.0
csc(300),undef,-1.873,-1.154
csc(315),-3.327,-1.325,-1.414
csc(330),1.895,-12.731,-2.0
sec(0),undef,1.14,1.0
sec(30),1.942,5.undef,1.154
sec(45),2.012,2.532,1.414
sec(60),-1.32,1.791,2.0
sec(90),-1.917,15.484,undef
sec(120),1.43,-2.637,-2.0
sec(135),-1.856,1.74,-1.414
sec(150),undef,1.402,-1.154
sec(180),-2.06,undef,-1.0
sec(210),1.723,1.216,-1.154
sec(225),7.405,1.514,-1.414
sec(240),3.479,8.988,-2.0
sec(270),3.764,7.262,undef
sec(300),4.239,4.161,2.0
sec(315),5.918,1.427,1.414
sec(330),-4.489,-4.393,1.154
cot(0),1.766,0.566,undef
cot(30),1.386,-0.476,1.732
cot(45),undef,-0.453,1.0
cot(60),0.647,-0.465,0.577
cot(90),3.412,-0.672,0.0
cot(120),0.702,undef,-0.577
cot(135),-0.397,-0.366,-1.0
cot(150),-0.463,0.698,-1.732
cot(180),0.582,1.17,undef
cot(210),-1.49,-0.334,1.732
cot(225),0.73,0.845,1.0
cot(240),0.827,-0.684,0.577
cot(270),-0.655,1.037,0.0
cot(300),-0.376,undef,-0.577
cot(315),-1.421,-0.457,-1.0
cot(330),0.905,-0.357,-1.732
sin(90)/cos(0), undef, 5.354, 1.0
sec(0)/sec(90), undef, 5.675, 1.0
sin^2(x) + cos^2(x), .544, 2.423, 1.0
cot(810),35.323, 1.943, 0.0
